parcel,subj,b,term
LH_Cont_Cing_1,102008,-0.0231401241133963,hihi
LH_Cont_Cing_1,102008,-0.0405670887818733,lolo
LH_Cont_Cing_1,102008,0.013702711920701,hilo
LH_Cont_Cing_1,107321,0.310236460904912,hihi
LH_Cont_Cing_1,107321,0.149301109589298,lolo
LH_Cont_Cing_1,107321,0.145775333312558,hilo
LH_Cont_Cing_1,115825,0.386663963131428,hihi
LH_Cont_Cing_1,115825,0.173568849015532,lolo
LH_Cont_Cing_1,115825,0.226541707254482,hilo
LH_Cont_Cing_1,123117,0.0306202880904705,hihi
LH_Cont_Cing_1,123117,-0.1141711912301,lolo
LH_Cont_Cing_1,123117,-0.00334201074407776,hilo
LH_Cont_Cing_1,130114,0.196932702447212,hihi
LH_Cont_Cing_1,130114,0.31048378448524,lolo
LH_Cont_Cing_1,130114,0.287415554346909,hilo
LH_Cont_Cing_1,130518,0.116541977018835,hihi
LH_Cont_Cing_1,130518,0.141844500999133,lolo
LH_Cont_Cing_1,130518,0.172071959318661,hilo
LH_Cont_Cing_1,132017,0.01527626941883,hihi
LH_Cont_Cing_1,132017,-0.0262167940820985,lolo
LH_Cont_Cing_1,132017,-0.0997334816988518,hilo
LH_Cont_Cing_1,141422,0.294142832599348,hihi
LH_Cont_Cing_1,141422,0.268326969021238,lolo
LH_Cont_Cing_1,141422,0.291368809883606,hilo
LH_Cont_Cing_1,150423,0.410849681374434,hihi
LH_Cont_Cing_1,150423,0.467678093698624,lolo
LH_Cont_Cing_1,150423,0.400306833215059,hilo
LH_Cont_Cing_1,158136,-0.111343039397545,hihi
LH_Cont_Cing_1,158136,0.0231937267184762,lolo
LH_Cont_Cing_1,158136,-0.0600560264986681,hilo
LH_Cont_Cing_1,161832,-0.0241899405648888,hihi
LH_Cont_Cing_1,161832,-0.142174858627177,lolo
LH_Cont_Cing_1,161832,0.0306444293735644,hilo
LH_Cont_Cing_1,165032,0.000658001780945348,hihi
LH_Cont_Cing_1,165032,0.163175004213146,lolo
LH_Cont_Cing_1,165032,0.0943550188061822,hilo
LH_Cont_Cing_1,173738,0.0870966732763267,hihi
LH_Cont_Cing_1,173738,0.240998044104336,lolo
LH_Cont_Cing_1,173738,0.193699170112821,hilo
LH_Cont_Cing_1,176845,0.442540171491057,hihi
LH_Cont_Cing_1,176845,0.0785289436256806,lolo
LH_Cont_Cing_1,176845,0.0418721020300595,hilo
LH_Cont_Cing_1,178950,0.313319022140007,hihi
LH_Cont_Cing_1,178950,0.136322503426363,lolo
LH_Cont_Cing_1,178950,0.213525776033177,hilo
LH_Cont_Cing_1,182436,0.0422720886407511,hihi
LH_Cont_Cing_1,182436,-0.0576822139920596,lolo
LH_Cont_Cing_1,182436,-0.0266430021025978,hilo
LH_Cont_Cing_1,203418,0.330996588125436,hihi
LH_Cont_Cing_1,203418,0.542673965600461,lolo
LH_Cont_Cing_1,203418,0.450901967504961,hilo
LH_Cont_Cing_1,204319,0.203723600138247,hihi
LH_Cont_Cing_1,204319,0.11422285857617,lolo
LH_Cont_Cing_1,204319,0.172543813472727,hilo
LH_Cont_Cing_1,233326,0.0623304549001952,hihi
LH_Cont_Cing_1,233326,-0.00163529057312825,lolo
LH_Cont_Cing_1,233326,0.10026387163066,hilo
LH_Cont_Cing_1,300618,0.0466343422228508,hihi
LH_Cont_Cing_1,300618,0.158716193894905,lolo
LH_Cont_Cing_1,300618,0.0601761220142802,hilo
LH_Cont_Cing_1,346945,0.0455694838455069,hihi
LH_Cont_Cing_1,346945,0.313119690981849,lolo
LH_Cont_Cing_1,346945,0.199561133922931,hilo
LH_Cont_Cing_1,393550,0.188167781307025,hihi
LH_Cont_Cing_1,393550,-0.0298975268840357,lolo
LH_Cont_Cing_1,393550,0.095916647759177,hilo
LH_Cont_Cing_1,432332,-0.0694897740388057,hihi
LH_Cont_Cing_1,432332,-0.0537531070920157,lolo
LH_Cont_Cing_1,432332,-0.0694583748348881,hilo
LH_Cont_Cing_1,448347,0.0746370962019728,hihi
LH_Cont_Cing_1,448347,0.364781663927193,lolo
LH_Cont_Cing_1,448347,0.182241097512411,hilo
LH_Cont_Cing_1,580650,0.05847469542684,hihi
LH_Cont_Cing_1,580650,0.103926274058595,lolo
LH_Cont_Cing_1,580650,0.0841761010917433,hilo
LH_Cont_Cing_1,594156,-0.079570052653151,hihi
LH_Cont_Cing_1,594156,0.193137026332453,lolo
LH_Cont_Cing_1,594156,0.0377095491325041,hilo
LH_Cont_Cing_1,601127,0.573692623156218,hihi
LH_Cont_Cing_1,601127,0.259224019308513,lolo
LH_Cont_Cing_1,601127,0.382587517371533,hilo
LH_Cont_Cing_1,672756,0.0558621469315133,hihi
LH_Cont_Cing_1,672756,0.0904763173896098,lolo
LH_Cont_Cing_1,672756,0.0799242555945973,hilo
LH_Cont_Cing_1,765864,0.362141926554308,hihi
LH_Cont_Cing_1,765864,0.32115766220568,lolo
LH_Cont_Cing_1,765864,0.355330076077297,hilo
LH_Cont_Cing_1,849971,0.218187017160323,hihi
LH_Cont_Cing_1,849971,0.30192224101743,lolo
LH_Cont_Cing_1,849971,0.259139901101564,hilo
LH_Cont_Cing_1,877168,0.100052531920906,hihi
LH_Cont_Cing_1,877168,0.0193973903492704,lolo
LH_Cont_Cing_1,877168,0.0593700687030052,hilo
LH_Cont_Cing_1,DMCC0472647,0.197008801219496,hihi
